Ürün markası,Ürün modeli,Ürün açıklaması,Fiyat,Puan,Yorum Sayısı,Tarih
HP,Victus 16-R0071NT 8V898EA,i7-13700H 32GB RAM 1TB SSD 8GB GeForce RTX 4070 16.1 inç FHD FreeDOS,55.999 TL,5.0,(4),2024-12
ASUS,Rog Strıx G16,"G614ju-n3195 Intel I7-13650hx 16gb Ddr5 512gb Ssd 6gb Rtx4050 16"" Wuxga 165hz Dos","58.858,43 TL",4.6,(36),2024-12
HP,Victus 15-fa1033nt 7n9v2ea,"I5-13500h 16gb 512ssd Rtx4050 15.6"" Fullhd Freedos Taşınabilir Bilgisa",32.799 TL,4.9,(17),2024-12
LENOVO,Loq Intel Core I5,"12450h 16gb 512gb Ssd Rtx3050-6gb Dos 15,6"" Fhd 144hz 82xv00wytx-16",27.369 TL,N/A,0,2024-12
HP,Victus 16-s0032nt Amd R5,"7640hs 16gb 512gb Ssd Rtx3050-6gb Freedos 16.1"" 144 Hz Fhd Taşınabilir B",29.999 TL,3.9,(8),2024-12
MONSTER,Abra A5 V20.4.2 Intel,"Core i5 12450H 32 GB RAM 1 TB SSD 6 GB RTX 4050 FreeDos 15,6"" FHD 144 Hz",38.179 TL,4.7,(299),2024-12
MONSTER,Abra A5 V21.4.2 Intel,"Core i7 12700H 32 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 15,6"" FHD 144 Hz",37.499 TL,4.5,(53),2024-12
ASUS,Tuf Gaming A15,Fa507nvr-lp030 R7 7435hs 16gb 512gb Ssd Rtx4060 144hz Dos 15.6 Fhd,42.999 TL,5.0,(6),2024-12
MSI,Thin 15 B12VE-1892XTR,"Intel Core i7-12650H 16GB 512GB SSD 6GB RTX 4050 15.6""FHD 144Hz Freedos",35.288 TL,4.6,(5),2024-12
MSI,Thin 15 12.Nesil Core i5,12450H-RTX3050 4Gb-16Gb-512Gb Ssd-15.6inc-W11,28.299 TL,5.0,(2),2024-12
CASPER,Excalibur,G770.1245-DFJ0X-B i5-12450H 32GB RAM 1TB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,31.449 TL,4.5,(373),2024-12
ASUS,Tuf Gaming A15,"Fa506nf-hn052 Amd Ryzen 5 7535hs 8 Gb 512 Gb Ssd Rtx 2050 144 Hz Freedos 15.6"" F",22.999 TL,5.0,(4),2024-12
MSI,Katana 17 B13vgk-1287xtr,I7-13620h 16gb 1tb Ssd 8gb Rtx4070 105w 17.3 Fhd 144hz Freedos,62.599 TL,5.0,(1),2024-12
ACER,Nitro5 Intel Core,"i5-12450H 8GB 256GB SSD RTX3050 Linux 15.6"" 144Hz Siyah Gaming Laptop NH.QFJEY.00A",24.999 TL,5.0,(5),2024-12
LENOVO,Loq 15IRX9 Intel Core,"I7 13650HX 32gb 512GB SSD 6gb RTX4050 Fdos 15.6"" Fhd 83DV00G7TR03",43.299 TL,4.3,(4),2024-12
